case_id,district,project_category,land_category,area_acres,owner_count,circle_rate_lakh_acre,awarded_compensation_cr,is_anomaly,anomaly_type
CMP-1073,Gautam Buddha Nagar,Water,commercial,28.36,1,104.42,121.429,0,NORMAL
CMP-1074,Dankuni,Energy,agricultural,15.08,3,60.65,20.147,0,NORMAL
CMP-1075,Gautam Buddha Nagar,Industrial,residential,14.71,3,126.35,37.074,0,NORMAL
CMP-1076,Thane,Industrial,residential,9.13,1,126.19,27.916,0,NORMAL
CMP-1077,Panna,Industrial,commercial,20.88,5,15.79,11.05,0,NORMAL
CMP-1078,Gautam Buddha Nagar,Aviation,commercial,42.68,3,125.19,185.33,0,NORMAL
CMP-1079,Gautam Buddha Nagar,Industrial,residential,22.77,3,114.63,80.74,0,NORMAL
CMP-1080,Panna,Highways,agricultural,31.68,4,29.16,17.719,0,NORMAL
CMP-1081,Navsari,Railways,commercial,12.89,7,28.21,13.259,0,NORMAL
CMP-1082,Palghar,Industrial,agricultural,32.31,1,45.27,24.774,0,NORMAL
CMP-1083,Surat,Highways,commercial,12.23,8,55.6,19.463,0,NORMAL
CMP-1084,Raigad,Railways,commercial,44.29,6,49.09,80.506,0,NORMAL
CMP-1085,Ahmedabad,Water,residential,39.93,6,62.39,60.367,0,NORMAL
CMP-1086,Navsari,Water,commercial,39.15,8,35.63,51.562,0,NORMAL
CMP-1087,Raigad,Aviation,residential,5.85,3,50.77,8.184,0,NORMAL
CMP-1088,Panna,Industrial,commercial,21.61,5,25.95,18.099,0,NORMAL
CMP-1089,Palghar,Industrial,agricultural,10.78,6,36.85,8.664,0,NORMAL
CMP-1090,Navsari,Energy,commercial,32.08,8,38.86,44.061,0,NORMAL
CMP-1091,Panna,Industrial,commercial,7.25,5,24.93,5.628,0,NORMAL
CMP-1092,Hooghly,Industrial,residential,24.09,2,52.06,33.1,0,NORMAL
CMP-1093,Palghar,Highways,agricultural,14.88,4,37.01,10.022,0,NORMAL
CMP-1094,Navsari,Water,commercial,11.73,8,49.06,16.932,0,NORMAL
CMP-1095,Raigad,Industrial,residential,22.42,2,57.22,31.512,0,NORMAL
CMP-1096,Gautam Buddha Nagar,Industrial,agricultural,44.76,3,112.44,94.06,0,NORMAL
CMP-1097,Navsari,Industrial,residential,37.76,5,51.73,47.998,0,NORMAL
CMP-1098,Hooghly,Industrial,residential,20.77,6,36.2,18.377,0,NORMAL
CMP-1099,Panna,Railways,residential,40.99,6,25.67,23.709,0,NORMAL
CMP-1100,Panna,Water,agricultural,18.7,2,20.67,13.251,1,OVER_VALUED
CMP-1101,Dankuni,Water,commercial,10.37,5,48.29,15.334,0,NORMAL
CMP-1102,Surat,Water,residential,26.08,4,83.57,59.14,0,NORMAL
CMP-1103,Navsari,Industrial,commercial,35.79,4,39.46,52.534,0,NORMAL
CMP-1104,Thane,Industrial,commercial,38.55,2,89.56,111.434,0,NORMAL
CMP-1105,Raigad,Railways,residential,18.84,1,55.29,24.741,0,NORMAL
CMP-1106,Navsari,Energy,residential,23.64,7,37.1,19.284,0,NORMAL
CMP-1107,Hooghly,Aviation,commercial,4.79,3,52.88,9.944,0,NORMAL
CMP-1108,Raigad,Industrial,commercial,17.66,2,33.67,20.923,0,NORMAL
CMP-1109,Sonnagar,Highways,residential,6.44,7,30.96,5.422,0,NORMAL
CMP-1110,Palghar,Aviation,agricultural,11.37,2,33.73,6.088,0,NORMAL
CMP-1111,Sonnagar,Energy,residential,3.92,1,25.47,2.638,0,NORMAL
CMP-1112,Ahmedabad,Aviation,agricultural,28.64,4,118.25,64.817,0,NORMAL
CMP-1113,Sonnagar,Highways,residential,5.04,7,22.14,2.492,0,NORMAL
CMP-1114,Palghar,Industrial,residential,22.92,2,36.29,24.026,0,NORMAL
CMP-1115,Dankuni,Water,residential,4.25,6,66.99,6.855,0,NORMAL
CMP-1116,Sonnagar,Industrial,commercial,23.11,8,24.2,17.816,0,NORMAL
CMP-1117,Palghar,Water,agricultural,0.49,5,49.67,0.444,0,NORMAL
CMP-1118,Ahmedabad,Industrial,agricultural,24.06,1,75.55,34.045,0,NORMAL
CMP-1119,Dankuni,Industrial,commercial,10.6,6,56.86,17.88,0,NORMAL
CMP-1120,Dankuni,Aviation,agricultural,17.83,7,38.97,13.977,0,NORMAL
CMP-1121,Raigad,Water,agricultural,5.36,2,61.01,7.248,0,NORMAL
CMP-1122,Valsad,Highways,agricultural,32.5,2,26.03,17.656,0,NORMAL
CMP-1123,Surat,Water,agricultural,31.12,5,75.73,47.022,0,NORMAL
CMP-1124,Panna,Energy,residential,36.73,2,25.45,25.866,0,NORMAL
CMP-1125,Panna,Energy,commercial,21.28,3,14.79,11.472,0,NORMAL
CMP-1126,Navsari,Industrial,residential,41.8,2,51.11,63.519,0,NORMAL
CMP-1127,Thane,Highways,agricultural,38.61,8,97.98,88.983,0,NORMAL
CMP-1128,Valsad,Aviation,commercial,22.69,4,41.55,31.34,0,NORMAL
CMP-1129,Sonnagar,Water,commercial,39.11,3,18.68,23.639,0,NORMAL
CMP-1130,Palghar,Water,agricultural,38.8,7,25.64,20.892,0,NORMAL
CMP-1131,Palghar,Aviation,commercial,8.89,4,28.81,7.451,0,NORMAL
CMP-1132,Panna,Highways,commercial,20.24,8,14.63,10.305,0,NORMAL
CMP-1133,Ahmedabad,Industrial,agricultural,30.6,6,86.76,57.267,0,NORMAL
CMP-1134,Thane,Highways,residential,8.75,1,98.57,19.566,0,NORMAL
CMP-1135,Navsari,Aviation,agricultural,41.2,7,47.94,35.632,0,NORMAL
CMP-1136,Valsad,Highways,commercial,43.19,3,31.62,44.171,0,NORMAL
CMP-1137,Panna,Aviation,commercial,41.46,6,22.79,35.814,0,NORMAL
CMP-1138,Palghar,Aviation,commercial,2.72,5,49.1,3.925,0,NORMAL
CMP-1139,Sonnagar,Aviation,residential,2.07,8,19.79,0.958,0,NORMAL
CMP-1140,Palghar,Highways,commercial,35.0,6,48.43,20.61,1,UNDER_VALUED
CMP-1141,Gautam Buddha Nagar,Industrial,commercial,5.21,7,127.16,19.288,0,NORMAL
CMP-1142,Hooghly,Railways,commercial,2.1,5,39.51,2.937,0,NORMAL
CMP-1143,Ahmedabad,Highways,residential,32.47,1,107.25,85.401,0,NORMAL
CMP-1144,Surat,Energy,commercial,2.89,3,69.54,7.701,0,NORMAL
CMP-1145,Hooghly,Aviation,commercial,17.18,4,39.53,28.817,0,NORMAL
CMP-1146,Sonnagar,Energy,commercial,12.95,6,23.95,9.758,0,NORMAL
CMP-1147,Ahmedabad,Aviation,residential,2.35,3,77.43,5.376,0,NORMAL
CMP-1148,Palghar,Water,commercial,20.68,6,47.25,37.02,0,NORMAL
CMP-1149,Ahmedabad,Energy,agricultural,0.45,6,65.47,0.547,0,NORMAL
CMP-1150,Surat,Aviation,agricultural,31.13,2,54.8,38.45,0,NORMAL
CMP-1151,Navsari,Energy,agricultural,24.08,5,49.19,22.71,0,NORMAL
CMP-1152,Valsad,Highways,residential,31.22,5,35.24,24.668,0,NORMAL
CMP-1153,Valsad,Aviation,residential,33.87,2,22.11,20.857,0,NORMAL
CMP-1154,Gautam Buddha Nagar,Aviation,residential,22.16,5,62.49,34.997,0,NORMAL
CMP-1155,Raigad,Water,residential,25.79,4,34.21,18.664,0,NORMAL
CMP-1156,Panna,Aviation,residential,31.22,8,23.55,18.157,0,NORMAL
CMP-1157,Dankuni,Aviation,residential,19.75,1,59.82,27.845,0,NORMAL
CMP-1158,Sonnagar,Energy,commercial,15.44,2,30.34,15.962,0,NORMAL
CMP-1159,Hooghly,Railways,residential,20.39,4,49.18,27.595,0,NORMAL
CMP-1160,Gautam Buddha Nagar,Highways,commercial,23.39,2,100.86,76.762,0,NORMAL
CMP-1161,Gautam Buddha Nagar,Railways,commercial,2.8,7,86.88,7.302,0,NORMAL
CMP-1162,Hooghly,Water,commercial,32.69,7,34.84,41.017,0,NORMAL
CMP-1163,Hooghly,Highways,residential,39.47,7,59.13,58.099,0,NORMAL
CMP-1164,Sonnagar,Highways,agricultural,5.14,5,29.25,3.069,0,NORMAL
CMP-1165,Ahmedabad,Railways,residential,30.13,1,88.56,56.963,0,NORMAL
CMP-1166,Thane,Water,residential,17.66,3,90.65,40.818,0,NORMAL
CMP-1167,Ahmedabad,Energy,agricultural,35.75,8,58.55,41.212,0,NORMAL
CMP-1168,Thane,Industrial,commercial,30.8,3,138.74,157.811,0,NORMAL
CMP-1169,Surat,Industrial,commercial,1.77,1,48.24,2.827,0,NORMAL
CMP-1170,Ahmedabad,Energy,residential,33.69,8,68.46,65.962,0,NORMAL
CMP-1171,Surat,Aviation,commercial,42.91,3,49.08,81.619,0,NORMAL
CMP-1172,Ahmedabad,Highways,commercial,10.4,5,108.4,37.373,0,NORMAL
CMP-1173,Ahmedabad,Railways,agricultural,37.36,5,83.94,114.259,1,OVER_VALUED
CMP-1174,Sonnagar,Energy,commercial,31.53,3,21.16,26.894,0,NORMAL
CMP-1175,Thane,Railways,residential,33.91,8,73.06,66.287,0,NORMAL
CMP-1176,Raigad,Aviation,residential,43.72,7,38.07,45.014,0,NORMAL
CMP-1177,Raigad,Aviation,residential,24.14,7,44.43,27.456,0,NORMAL
CMP-1178,Sonnagar,Water,residential,43.86,3,19.36,20.864,0,NORMAL
CMP-1179,Raigad,Water,commercial,35.3,1,32.76,41.647,0,NORMAL
CMP-1180,Gautam Buddha Nagar,Railways,agricultural,5.5,7,69.36,8.012,0,NORMAL
CMP-1181,Panna,Water,residential,31.12,8,24.18,19.389,0,NORMAL
CMP-1182,Gautam Buddha Nagar,Water,residential,29.24,6,104.33,36.908,1,UNDER_VALUED
CMP-1183,Ahmedabad,Water,commercial,44.83,8,107.3,159.43,0,NORMAL
CMP-1184,Raigad,Highways,commercial,15.45,3,51.06,24.965,0,NORMAL
CMP-1185,Valsad,Industrial,agricultural,32.37,5,43.48,27.178,0,NORMAL
CMP-1186,Palghar,Water,residential,40.9,2,34.38,35.557,0,NORMAL
CMP-1187,Palghar,Aviation,residential,6.7,2,32.14,5.236,0,NORMAL
CMP-1188,Dankuni,Highways,agricultural,41.01,2,56.86,43.259,0,NORMAL
CMP-1189,Hooghly,Highways,agricultural,17.24,3,37.99,13.401,0,NORMAL
CMP-1190,Dankuni,Water,agricultural,10.15,6,49.94,10.146,0,NORMAL
CMP-1191,Raigad,Highways,agricultural,19.41,3,61.23,26.136,0,NORMAL
CMP-1192,Surat,Railways,residential,37.01,2,76.22,68.759,0,NORMAL
CMP-1193,Surat,Water,agricultural,30.64,7,73.15,45.408,0,NORMAL
CMP-1194,Valsad,Highways,agricultural,5.11,6,38.84,3.968,0,NORMAL
CMP-1195,Panna,Energy,commercial,33.59,1,26.11,30.777,0,NORMAL
CMP-1196,Thane,Industrial,agricultural,19.0,5,95.34,35.339,0,NORMAL
CMP-1197,Thane,Aviation,residential,15.45,1,66.44,23.556,0,NORMAL
CMP-1198,Ahmedabad,Railways,residential,2.76,6,116.26,8.929,0,NORMAL
CMP-1199,Surat,Energy,commercial,35.73,8,57.49,71.772,0,NORMAL
CMP-1200,Raigad,Aviation,commercial,38.8,6,48.28,66.425,0,NORMAL
CMP-1201,Panna,Highways,commercial,43.24,8,17.6,23.311,0,NORMAL
CMP-1202,Raigad,Aviation,residential,24.86,6,60.33,84.661,1,OVER_VALUED
CMP-1203,Valsad,Industrial,commercial,37.35,7,28.96,33.665,0,NORMAL
CMP-1204,Sonnagar,Energy,commercial,10.48,8,35.69,11.632,0,NORMAL
CMP-1205,Hooghly,Water,residential,0.86,4,59.34,1.38,0,NORMAL
CMP-1206,Palghar,Industrial,agricultural,2.14,3,42.62,1.891,0,NORMAL
CMP-1207,Ahmedabad,Energy,residential,24.96,7,80.94,52.535,0,NORMAL
CMP-1208,Sonnagar,Water,agricultural,20.84,1,28.26,12.413,0,NORMAL
CMP-1209,Surat,Railways,commercial,43.42,7,76.65,105.79,0,NORMAL
CMP-1210,Surat,Energy,agricultural,16.4,6,79.01,26.068,0,NORMAL
CMP-1211,Hooghly,Energy,agricultural,19.85,5,45.7,17.704,0,NORMAL
CMP-1212,Palghar,Water,agricultural,44.33,8,42.07,39.477,0,NORMAL
CMP-1213,Ahmedabad,Water,residential,37.67,1,65.64,56.196,0,NORMAL
CMP-1214,Ahmedabad,Industrial,commercial,12.48,1,58.26,21.277,0,NORMAL
CMP-1215,Sonnagar,Water,agricultural,43.67,6,26.48,21.893,0,NORMAL
CMP-1216,Ahmedabad,Highways,commercial,27.31,8,113.71,126.858,0,NORMAL
CMP-1217,Raigad,Energy,agricultural,12.97,3,51.48,5.864,1,UNDER_VALUED
CMP-1218,Surat,Aviation,commercial,6.13,7,81.37,19.717,0,NORMAL
CMP-1219,Surat,Highways,commercial,30.55,4,78.53,77.006,0,NORMAL
CMP-1220,Thane,Energy,commercial,15.77,5,126.09,63.925,0,NORMAL
CMP-1221,Navsari,Industrial,commercial,42.67,8,36.09,52.794,0,NORMAL
CMP-1222,Raigad,Industrial,residential,26.92,7,33.23,27.524,0,NORMAL
CMP-1223,Valsad,Energy,commercial,26.56,4,39.2,37.251,0,NORMAL
CMP-1224,Palghar,Industrial,residential,4.2,2,32.25,1.659,1,UNDER_VALUED
CMP-1225,Raigad,Aviation,residential,25.71,7,33.8,23.524,0,NORMAL
CMP-1226,Gautam Buddha Nagar,Aviation,commercial,32.94,1,104.36,128.448,0,NORMAL
CMP-1227,Hooghly,Aviation,commercial,39.04,7,44.58,59.26,0,NORMAL
CMP-1228,Dankuni,Industrial,residential,23.31,5,59.14,34.396,0,NORMAL
CMP-1229,Panna,Industrial,agricultural,9.3,8,28.87,5.178,0,NORMAL
CMP-1230,Valsad,Water,agricultural,33.45,1,42.36,30.613,0,NORMAL
CMP-1231,Surat,Aviation,residential,44.35,7,56.15,63.143,0,NORMAL
CMP-1232,Ahmedabad,Highways,residential,3.74,4,109.73,10.18,0,NORMAL
CMP-1233,Raigad,Aviation,residential,27.03,5,50.38,41.061,0,NORMAL
CMP-1234,Surat,Industrial,commercial,44.48,8,58.66,53.039,1,UNDER_VALUED
CMP-1235,Surat,Aviation,residential,16.46,4,84.16,36.014,0,NORMAL
CMP-1236,Thane,Highways,residential,37.62,3,74.51,70.627,0,NORMAL
CMP-1237,Palghar,Energy,residential,27.35,1,45.62,30.568,0,NORMAL
CMP-1238,Palghar,Industrial,agricultural,34.29,2,42.4,43.505,1,OVER_VALUED
CMP-1239,Gautam Buddha Nagar,Railways,commercial,0.52,2,82.87,1.351,0,NORMAL
CMP-1240,Palghar,Energy,agricultural,23.93,6,41.71,22.588,0,NORMAL
CMP-1241,Thane,Aviation,commercial,8.45,8,131.84,34.636,0,NORMAL
CMP-1242,Navsari,Railways,agricultural,22.64,5,28.07,12.92,0,NORMAL
CMP-1243,Ahmedabad,Aviation,commercial,34.55,4,61.45,73.293,0,NORMAL
CMP-1244,Raigad,Energy,agricultural,6.01,1,64.15,7.183,0,NORMAL
CMP-1245,Sonnagar,Aviation,commercial,19.22,5,31.71,20.864,0,NORMAL
CMP-1246,Valsad,Aviation,agricultural,24.97,4,47.13,20.46,0,NORMAL
CMP-1247,Ahmedabad,Water,agricultural,17.02,8,57.41,21.919,0,NORMAL
CMP-1248,Navsari,Industrial,commercial,4.26,1,43.83,6.162,0,NORMAL
CMP-1249,Thane,Industrial,agricultural,25.85,1,124.91,68.519,0,NORMAL
CMP-1250,Dankuni,Water,commercial,34.06,8,41.13,49.294,0,NORMAL
CMP-1251,Surat,Highways,commercial,30.01,3,76.0,69.482,0,NORMAL
CMP-1252,Valsad,Aviation,commercial,17.64,5,35.73,19.471,0,NORMAL
CMP-1253,Raigad,Aviation,agricultural,12.65,2,38.97,10.324,0,NORMAL
CMP-1254,Thane,Energy,commercial,27.72,8,110.63,105.425,0,NORMAL
CMP-1255,Sonnagar,Water,agricultural,39.78,1,25.94,20.291,0,NORMAL
CMP-1256,Raigad,Industrial,residential,11.43,6,62.87,14.441,0,NORMAL
CMP-1257,Valsad,Highways,commercial,40.46,5,23.06,38.247,0,NORMAL
CMP-1258,Ahmedabad,Industrial,residential,30.9,6,82.04,59.176,0,NORMAL
CMP-1259,Sonnagar,Energy,residential,26.51,8,21.27,12.711,0,NORMAL
CMP-1260,Thane,Aviation,commercial,34.36,3,128.45,178.336,0,NORMAL
CMP-1261,Dankuni,Energy,commercial,29.46,4,43.51,42.511,0,NORMAL
CMP-1262,Sonnagar,Railways,residential,18.09,6,30.98,11.882,0,NORMAL
CMP-1263,Surat,Energy,residential,22.4,4,68.2,32.004,0,NORMAL
CMP-1264,Valsad,Energy,residential,31.0,2,32.61,29.509,0,NORMAL
CMP-1265,Gautam Buddha Nagar,Aviation,agricultural,14.0,6,120.34,35.367,0,NORMAL
CMP-1266,Palghar,Aviation,residential,32.02,5,45.8,34.265,0,NORMAL
CMP-1267,Panna,Aviation,commercial,28.44,3,18.03,20.981,0,NORMAL
CMP-1268,Valsad,Aviation,commercial,8.44,8,31.0,9.256,0,NORMAL
CMP-1269,Hooghly,Aviation,agricultural,6.11,7,52.74,6.113,0,NORMAL
CMP-1270,Valsad,Railways,commercial,15.61,1,41.34,34.758,1,OVER_VALUED
CMP-1271,Surat,Energy,residential,23.77,8,49.15,32.203,0,NORMAL
CMP-1272,Hooghly,Highways,residential,28.83,3,45.06,34.982,0,NORMAL
CMP-1273,Gautam Buddha Nagar,Highways,residential,44.13,1,97.75,100.158,0,NORMAL
CMP-1274,Palghar,Aviation,commercial,33.8,1,45.51,63.74,0,NORMAL
CMP-1275,Gautam Buddha Nagar,Aviation,residential,13.26,3,86.69,25.946,0,NORMAL
CMP-1276,Hooghly,Highways,residential,6.4,4,49.81,8.371,0,NORMAL
CMP-1277,Palghar,Highways,residential,22.79,7,43.29,20.692,0,NORMAL
CMP-1278,Panna,Energy,commercial,22.49,5,14.33,10.191,0,NORMAL
CMP-1279,Navsari,Industrial,commercial,3.95,6,42.49,5.461,0,NORMAL
CMP-1280,Thane,Industrial,residential,37.06,7,125.02,135.603,0,NORMAL
CMP-1281,Dankuni,Water,agricultural,20.92,6,62.36,25.172,0,NORMAL
CMP-1282,Raigad,Energy,commercial,17.38,4,52.0,35.921,0,NORMAL
CMP-1283,Panna,Energy,commercial,23.82,6,27.8,26.782,0,NORMAL
CMP-1284,Dankuni,Aviation,commercial,35.85,2,56.52,74.344,0,NORMAL
CMP-1285,Valsad,Highways,commercial,22.57,1,40.61,35.362,0,NORMAL
CMP-1286,Palghar,Industrial,residential,43.64,4,39.23,50.156,0,NORMAL
CMP-1287,Ahmedabad,Railways,commercial,11.32,7,62.26,22.223,0,NORMAL
CMP-1288,Sonnagar,Water,commercial,28.22,7,21.77,21.186,0,NORMAL
CMP-1289,Ahmedabad,Industrial,residential,21.36,2,115.7,127.737,1,OVER_VALUED
CMP-1290,Raigad,Industrial,residential,30.81,7,43.03,31.76,0,NORMAL
CMP-1291,Navsari,Water,residential,5.83,7,30.07,4.163,0,NORMAL
CMP-1292,Gautam Buddha Nagar,Energy,commercial,7.76,8,124.71,36.65,0,NORMAL
CMP-1293,Surat,Railways,commercial,7.74,4,74.81,20.817,0,NORMAL
CMP-1294,Dankuni,Industrial,residential,42.13,5,54.39,59.626,0,NORMAL
CMP-1295,Palghar,Aviation,residential,12.86,3,45.76,12.312,0,NORMAL
CMP-1296,Raigad,Energy,commercial,32.57,3,49.34,62.215,0,NORMAL
CMP-1297,Surat,Railways,commercial,27.14,5,65.36,62.138,0,NORMAL
CMP-1298,Valsad,Energy,residential,27.68,3,31.64,23.543,0,NORMAL
CMP-1299,Sonnagar,Energy,commercial,12.09,5,25.06,8.346,0,NORMAL
CMP-1300,Raigad,Energy,agricultural,13.89,5,57.83,15.356,0,NORMAL
CMP-1301,Sonnagar,Water,residential,35.0,6,18.68,8.077,1,UNDER_VALUED
CMP-1302,Thane,Aviation,agricultural,19.9,2,90.14,39.624,0,NORMAL
CMP-1303,Dankuni,Aviation,commercial,23.3,2,35.87,29.774,0,NORMAL
CMP-1304,Thane,Energy,commercial,31.98,5,123.55,257.004,1,OVER_VALUED
CMP-1305,Palghar,Aviation,agricultural,20.36,5,48.7,23.199,0,NORMAL
CMP-1306,Hooghly,Railways,residential,5.94,1,37.91,5.502,0,NORMAL
CMP-1307,Navsari,Railways,residential,8.72,4,48.62,9.31,0,NORMAL
CMP-1308,Raigad,Energy,commercial,42.09,8,53.98,90.985,0,NORMAL
CMP-1309,Gautam Buddha Nagar,Highways,residential,30.66,7,129.55,106.605,0,NORMAL
CMP-1310,Panna,Aviation,commercial,28.65,7,15.55,14.334,0,NORMAL
CMP-1311,Hooghly,Water,commercial,40.04,2,54.78,78.631,0,NORMAL
CMP-1312,Dankuni,Railways,residential,32.68,5,63.74,51.83,0,NORMAL
CMP-1313,Surat,Water,commercial,18.89,6,58.94,43.262,0,NORMAL
CMP-1314,Panna,Water,residential,23.07,2,26.0,14.975,0,NORMAL
CMP-1315,Dankuni,Highways,commercial,32.57,4,38.57,35.159,0,NORMAL
CMP-1316,Surat,Energy,residential,8.34,6,45.74,9.194,0,NORMAL
CMP-1317,Dankuni,Aviation,agricultural,17.12,7,38.4,13.139,0,NORMAL
CMP-1318,Thane,Highways,residential,14.03,4,116.13,40.298,0,NORMAL
CMP-1319,Raigad,Highways,agricultural,9.08,8,33.61,6.037,0,NORMAL
CMP-1320,Thane,Aviation,agricultural,39.72,3,86.08,61.614,0,NORMAL
