stage_duration_days,district,project_category,objection_count,has_dispute,land_category,area_acres,owner_count,distance_from_hq_km,is_delayed,days_to_next_stage
127,Sonnagar,Aviation,0,0,residential,39.11,4,33.3,0,74.9
288,Raigad,Water,8,1,agricultural,47.56,11,4.5,1,357.9
148,Hooghly,Railways,0,0,agricultural,26.48,13,83.8,0,166.6
255,Ahmedabad,Energy,10,1,agricultural,4.64,6,22.9,1,365.5
117,Thane,Highways,1,0,agricultural,19.46,8,64.3,0,105.1
100,Sonnagar,Energy,4,0,commercial,57.61,2,91.7,0,147.6
207,Navsari,Industrial,2,0,residential,6.54,2,11.5,0,86.6
36,Gautam Buddha Nagar,Highways,0,0,residential,29.96,3,3.2,0,71.5
250,Ahmedabad,Energy,0,0,residential,58.84,3,59.3,0,111.5
152,Hooghly,Water,0,0,residential,74.8,3,84.0,0,128.5
187,Gautam Buddha Nagar,Aviation,7,1,commercial,14.96,2,35.0,1,298.3
299,Gautam Buddha Nagar,Aviation,5,1,commercial,7.31,6,39.8,1,294.1
266,Hooghly,Aviation,0,0,residential,23.89,4,66.3,0,142.3
191,Hooghly,Industrial,2,0,residential,26.8,4,27.2,0,141.6
289,Surat,Energy,1,0,agricultural,15.73,12,47.0,0,116.8
66,Panna,Industrial,0,0,commercial,29.19,3,3.3,0,65.6
79,Thane,Industrial,2,0,commercial,8.66,1,55.4,0,90.4
259,Raigad,Highways,3,1,commercial,32.36,1,55.7,1,247.7
142,Gautam Buddha Nagar,Energy,8,1,agricultural,48.7,13,59.5,1,319.1
234,Hooghly,Energy,1,0,residential,48.97,1,90.1,0,138.5
137,Dankuni,Highways,3,1,agricultural,12.94,7,43.9,1,231.6
159,Surat,Energy,1,0,residential,55.15,3,75.3,0,98.6
293,Surat,Water,4,1,agricultural,72.72,14,15.2,1,351.0
162,Gautam Buddha Nagar,Aviation,1,0,residential,24.68,4,89.7,0,109.3
236,Palghar,Industrial,1,0,agricultural,2.56,4,91.5,0,98.8
35,Thane,Aviation,0,0,commercial,41.76,4,87.2,0,91.2
255,Dankuni,Water,0,0,agricultural,53.78,14,17.0,0,175.4
33,Dankuni,Water,0,0,residential,26.2,4,82.4,0,62.0
42,Panna,Water,7,1,commercial,50.0,4,60.2,1,256.4
239,Panna,Railways,1,0,commercial,2.8,6,58.6,1,137.4
223,Panna,Highways,3,1,residential,37.19,1,62.2,1,284.6
154,Navsari,Industrial,1,0,residential,38.04,4,53.3,0,139.9
50,Panna,Aviation,8,1,agricultural,27.52,13,49.2,1,291.7
265,Navsari,Industrial,0,0,residential,39.01,3,53.3,0,117.0
137,Valsad,Railways,0,0,residential,62.16,1,31.6,0,99.3
92,Ahmedabad,Water,0,0,residential,40.43,3,82.9,0,65.9
88,Panna,Water,1,0,agricultural,12.77,8,74.7,0,125.1
183,Ahmedabad,Aviation,3,0,agricultural,30.71,6,60.3,1,140.5
50,Panna,Highways,6,1,residential,79.8,1,42.4,1,274.7
168,Palghar,Water,0,0,agricultural,63.79,5,35.3,0,120.7
107,Ahmedabad,Industrial,3,1,residential,48.95,4,59.6,1,276.0
145,Raigad,Railways,1,0,commercial,71.96,4,85.8,0,114.6
168,Hooghly,Energy,0,0,residential,20.38,3,20.5,0,104.4
198,Surat,Water,4,0,residential,23.97,4,27.5,0,152.1
269,Sonnagar,Highways,3,0,residential,62.17,2,58.5,0,194.6
85,Gautam Buddha Nagar,Energy,3,0,residential,51.88,3,75.3,0,131.1
182,Raigad,Highways,0,0,commercial,11.01,5,83.5,0,113.3
261,Navsari,Railways,0,0,commercial,69.7,1,45.6,1,140.4
218,Surat,Aviation,2,0,residential,29.58,4,3.3,0,135.8
149,Dankuni,Aviation,2,0,residential,75.25,1,64.8,0,135.3
128,Panna,Energy,1,0,residential,37.41,3,62.4,0,106.1
74,Thane,Energy,10,1,commercial,11.29,4,36.5,1,288.3
94,Panna,Water,1,0,residential,66.78,4,89.3,0,136.3
135,Surat,Water,0,0,commercial,55.01,5,85.9,0,98.2
247,Navsari,Railways,5,1,agricultural,51.52,10,92.3,1,322.4
50,Raigad,Industrial,1,0,agricultural,47.12,14,82.9,0,134.3
89,Gautam Buddha Nagar,Highways,1,0,commercial,63.98,1,63.5,0,96.8
23,Surat,Industrial,2,1,commercial,10.58,4,50.9,1,167.5
70,Valsad,Industrial,0,0,residential,49.4,3,44.6,0,76.3
70,Hooghly,Water,3,0,commercial,6.34,1,32.0,0,106.0
295,Gautam Buddha Nagar,Aviation,0,0,residential,47.99,3,44.2,0,128.4
297,Sonnagar,Highways,0,0,residential,36.4,2,40.5,0,109.8
233,Sonnagar,Highways,0,0,commercial,76.31,6,87.8,1,153.7
205,Palghar,Water,1,0,agricultural,47.12,9,54.2,1,130.4
41,Dankuni,Water,1,0,residential,28.46,2,16.4,0,77.5
73,Valsad,Industrial,1,0,commercial,64.67,5,92.6,0,84.1
151,Dankuni,Industrial,6,1,agricultural,56.36,5,87.7,1,299.0
220,Raigad,Industrial,2,1,residential,7.79,2,37.0,1,232.1
58,Navsari,Aviation,0,0,commercial,60.48,1,64.7,0,98.4
227,Hooghly,Industrial,10,1,commercial,9.55,4,12.3,1,312.8
38,Panna,Aviation,2,1,commercial,1.11,3,89.9,1,154.0
18,Navsari,Energy,0,0,agricultural,10.77,9,67.4,0,70.3
36,Valsad,Highways,1,0,commercial,6.69,3,55.5,0,54.6
222,Ahmedabad,Energy,7,1,agricultural,14.16,10,44.8,1,304.3
238,Ahmedabad,Highways,1,0,agricultural,31.96,5,71.4,0,165.6
73,Palghar,Industrial,0,0,residential,62.21,3,69.6,0,53.6
146,Surat,Highways,4,1,agricultural,60.94,11,9.0,1,279.7
244,Hooghly,Industrial,3,0,residential,51.62,3,82.4,0,159.8
170,Palghar,Water,1,0,commercial,28.48,1,30.9,0,104.2
61,Navsari,Highways,1,0,residential,37.29,1,43.8,0,54.3
271,Valsad,Industrial,2,1,commercial,36.32,3,93.4,1,269.9
239,Thane,Railways,1,0,residential,48.98,3,36.7,0,152.9
41,Valsad,Aviation,1,0,residential,5.74,1,53.9,0,70.0
185,Dankuni,Industrial,4,1,agricultural,73.38,5,92.0,1,264.1
173,Gautam Buddha Nagar,Aviation,1,0,agricultural,26.61,3,64.3,0,83.5
231,Dankuni,Industrial,0,0,agricultural,25.05,4,33.8,0,100.1
166,Raigad,Railways,0,0,agricultural,61.78,14,70.7,0,140.8
207,Gautam Buddha Nagar,Railways,4,1,residential,66.59,2,69.1,1,278.0
160,Sonnagar,Railways,2,0,commercial,19.1,2,30.8,0,95.7
240,Surat,Energy,0,0,residential,30.86,4,91.9,0,86.8
261,Raigad,Energy,1,0,agricultural,8.66,14,50.0,1,168.0
277,Raigad,Energy,8,1,commercial,7.79,2,78.0,1,287.8
272,Ahmedabad,Highways,0,0,commercial,6.99,2,4.6,1,93.3
85,Dankuni,Energy,9,1,agricultural,55.84,3,72.6,1,306.9
125,Palghar,Highways,1,0,commercial,58.32,5,41.4,0,104.0
229,Palghar,Highways,1,0,agricultural,5.49,14,86.2,0,151.6
88,Panna,Industrial,0,0,agricultural,28.55,10,40.7,0,91.9
293,Valsad,Highways,4,0,residential,44.56,4,83.2,1,199.9
23,Valsad,Energy,0,0,residential,19.67,1,73.7,0,31.0
188,Thane,Energy,0,0,residential,62.44,4,93.2,0,117.5
249,Raigad,Highways,5,1,residential,3.98,2,84.4,1,285.1
144,Ahmedabad,Industrial,5,1,commercial,23.25,1,82.5,1,256.9
240,Valsad,Water,0,0,commercial,77.91,4,66.4,0,159.0
232,Navsari,Highways,4,1,residential,43.87,3,11.5,1,287.3
233,Hooghly,Industrial,9,1,residential,28.45,1,69.6,1,308.0
44,Ahmedabad,Energy,8,1,residential,29.38,2,90.6,1,285.0
49,Hooghly,Highways,7,1,agricultural,29.29,10,5.0,1,299.1
54,Valsad,Energy,1,0,commercial,32.14,6,27.9,0,91.3
213,Raigad,Water,0,0,residential,62.11,4,22.0,0,104.2
84,Hooghly,Railways,1,0,agricultural,71.94,8,94.7,0,79.0
48,Valsad,Aviation,0,0,commercial,24.35,2,68.2,0,47.4
77,Valsad,Industrial,2,0,agricultural,19.32,8,4.4,0,109.2
59,Panna,Railways,8,1,residential,79.97,4,50.9,1,263.5
52,Palghar,Railways,1,0,commercial,27.89,5,61.5,0,129.3
78,Ahmedabad,Industrial,0,0,agricultural,13.38,12,23.0,0,89.8
115,Navsari,Highways,1,0,commercial,10.45,3,59.1,0,102.7
102,Gautam Buddha Nagar,Industrial,2,0,agricultural,48.61,14,87.9,1,163.1
150,Palghar,Highways,2,0,residential,33.62,1,48.3,0,103.8
222,Navsari,Water,0,0,agricultural,5.26,8,40.7,0,119.2
178,Raigad,Energy,3,0,residential,78.04,2,72.7,0,156.9
151,Surat,Water,0,0,agricultural,4.52,7,82.4,0,116.8
175,Raigad,Energy,4,1,residential,40.11,4,48.4,1,265.4
138,Ahmedabad,Industrial,7,1,commercial,4.37,3,48.0,1,253.1
19,Hooghly,Energy,0,0,residential,70.66,3,73.0,0,87.1
200,Gautam Buddha Nagar,Industrial,0,0,agricultural,40.59,13,53.1,0,119.3
64,Gautam Buddha Nagar,Highways,2,0,agricultural,27.46,6,72.2,0,128.4
34,Panna,Highways,7,1,agricultural,64.42,9,44.5,1,276.4
98,Valsad,Industrial,1,0,commercial,67.49,5,33.3,0,94.4
258,Sonnagar,Industrial,0,0,commercial,54.07,4,56.3,0,102.4
257,Sonnagar,Aviation,5,1,agricultural,57.85,10,46.7,1,318.0
139,Ahmedabad,Railways,3,1,residential,15.67,4,31.2,1,253.5
256,Ahmedabad,Industrial,2,0,residential,5.45,2,50.2,0,109.4
175,Hooghly,Industrial,1,0,commercial,42.88,5,34.9,0,94.9
262,Dankuni,Aviation,5,1,commercial,22.68,3,22.9,1,282.5
265,Navsari,Aviation,0,0,agricultural,74.73,13,69.1,0,194.5
191,Panna,Water,2,0,commercial,23.59,3,90.8,1,147.2
260,Dankuni,Energy,10,1,residential,22.06,3,14.8,1,328.4
286,Surat,Highways,5,1,residential,4.67,4,32.7,1,292.1
95,Raigad,Highways,3,0,residential,70.33,4,62.5,0,126.1
60,Navsari,Aviation,0,0,agricultural,59.23,14,89.1,0,111.9
268,Raigad,Highways,6,1,commercial,70.2,1,29.8,1,285.7
293,Valsad,Energy,3,0,commercial,11.17,5,45.5,1,178.5
146,Raigad,Aviation,0,0,commercial,27.3,3,54.8,0,76.7
278,Dankuni,Water,0,0,commercial,8.08,2,46.4,0,108.9
151,Ahmedabad,Railways,0,0,commercial,57.97,1,26.3,0,104.6
172,Dankuni,Highways,10,1,commercial,73.89,6,73.6,1,329.7
128,Navsari,Energy,4,1,residential,38.52,4,71.5,1,237.9
126,Panna,Water,1,0,residential,47.87,1,50.9,0,96.1
295,Gautam Buddha Nagar,Highways,0,0,agricultural,43.16,3,32.5,0,130.4
265,Surat,Aviation,10,1,residential,35.92,1,44.2,1,342.5
172,Thane,Industrial,0,0,commercial,65.41,6,22.3,0,128.5
45,Sonnagar,Highways,0,0,residential,74.74,1,28.7,0,83.4
230,Dankuni,Aviation,3,0,residential,36.16,4,36.9,0,136.8
193,Panna,Railways,10,1,residential,31.75,2,69.7,1,329.4
293,Thane,Energy,0,0,commercial,18.76,4,34.2,0,166.6
229,Sonnagar,Highways,3,0,agricultural,71.18,4,21.2,1,177.5
39,Gautam Buddha Nagar,Aviation,2,1,residential,32.48,2,52.2,1,162.6
134,Raigad,Industrial,2,0,commercial,25.85,5,73.8,0,109.3
128,Raigad,Aviation,0,0,residential,44.76,2,60.2,0,96.2
210,Valsad,Aviation,0,0,residential,33.6,2,29.9,0,123.4
88,Surat,Railways,3,0,commercial,45.21,4,53.8,0,139.1
55,Surat,Energy,2,0,residential,7.85,2,6.8,0,101.0
126,Thane,Highways,3,0,agricultural,26.97,1,21.7,0,148.3
119,Sonnagar,Water,0,0,agricultural,26.07,5,37.4,0,84.1
269,Navsari,Energy,2,0,residential,57.93,3,87.0,0,174.4
89,Gautam Buddha Nagar,Railways,10,1,residential,74.81,4,29.5,1,338.5
296,Gautam Buddha Nagar,Railways,1,0,commercial,20.96,4,91.9,0,125.1
101,Raigad,Aviation,10,1,commercial,39.32,5,94.1,1,312.7
18,Palghar,Aviation,2,0,agricultural,18.9,12,16.0,0,133.5
262,Thane,Industrial,0,0,residential,42.81,4,3.1,0,124.0
235,Navsari,Highways,3,0,residential,9.01,1,50.8,0,165.8
218,Navsari,Energy,8,1,commercial,36.99,2,94.1,1,339.3
31,Palghar,Aviation,8,1,residential,30.48,4,7.2,1,270.6
184,Hooghly,Water,3,0,residential,8.08,1,23.4,1,111.7
38,Gautam Buddha Nagar,Water,1,0,commercial,22.79,5,54.4,1,89.6
88,Valsad,Highways,2,0,agricultural,32.16,2,29.8,0,92.8
184,Ahmedabad,Aviation,2,0,residential,63.34,1,48.6,0,133.9
189,Ahmedabad,Railways,1,0,agricultural,47.85,13,32.4,0,133.4
197,Hooghly,Water,0,0,agricultural,15.27,10,63.4,1,133.2
57,Surat,Aviation,8,1,agricultural,57.08,11,16.3,1,322.5
242,Palghar,Highways,0,0,commercial,11.03,2,42.1,0,94.4
196,Palghar,Highways,1,0,agricultural,62.86,14,37.8,0,185.4
139,Palghar,Aviation,0,0,residential,30.77,2,27.0,0,94.1
230,Raigad,Water,2,0,commercial,29.21,2,69.0,0,136.8
170,Hooghly,Highways,8,1,agricultural,26.91,10,37.3,1,309.5
84,Ahmedabad,Aviation,1,0,residential,55.78,4,31.2,0,91.9
266,Navsari,Aviation,2,0,residential,26.41,3,77.9,0,153.1
294,Gautam Buddha Nagar,Railways,10,1,residential,2.64,4,89.7,1,379.7
270,Sonnagar,Highways,6,1,commercial,19.74,6,16.3,1,316.5
220,Hooghly,Industrial,3,0,commercial,69.64,4,52.6,1,155.4
58,Panna,Industrial,5,1,residential,52.78,3,17.5,1,231.0
219,Dankuni,Aviation,0,0,residential,63.8,1,3.0,0,135.3
128,Panna,Industrial,0,0,residential,61.9,2,34.1,0,95.1
87,Ahmedabad,Highways,0,0,agricultural,62.85,9,46.9,0,111.3
49,Sonnagar,Water,2,0,commercial,9.65,3,62.3,0,76.9
104,Sonnagar,Railways,0,0,residential,34.4,4,23.6,0,90.2
217,Dankuni,Aviation,5,1,commercial,36.24,4,38.2,1,271.0
67,Sonnagar,Highways,1,0,residential,29.58,2,44.6,0,116.3
213,Panna,Aviation,1,0,commercial,28.16,4,59.4,1,97.6
58,Navsari,Industrial,0,0,residential,19.47,1,19.0,0,35.6
211,Ahmedabad,Industrial,1,0,agricultural,43.22,11,88.6,1,163.2
176,Navsari,Railways,1,0,agricultural,69.31,1,47.1,0,136.9
268,Panna,Industrial,1,0,residential,56.96,4,47.4,0,151.0
155,Surat,Energy,6,1,agricultural,13.87,8,54.6,1,263.5
73,Panna,Highways,10,1,residential,65.95,3,52.4,1,284.7
232,Hooghly,Industrial,5,1,agricultural,24.17,1,43.8,1,298.2
122,Hooghly,Highways,1,0,agricultural,28.38,12,58.8,0,139.7
194,Surat,Railways,1,0,agricultural,13.89,12,29.2,0,121.5
84,Panna,Aviation,2,0,agricultural,73.54,5,82.6,0,153.7
179,Surat,Railways,2,0,residential,54.26,4,15.2,0,121.7
62,Ahmedabad,Water,2,0,agricultural,55.73,6,44.3,0,120.6
249,Sonnagar,Highways,1,0,residential,68.08,4,22.3,0,153.8
187,Navsari,Energy,0,0,commercial,68.27,3,85.2,0,109.1
78,Dankuni,Water,0,0,agricultural,36.79,7,20.8,0,79.8
155,Dankuni,Energy,7,1,agricultural,20.41,6,63.8,1,287.2
134,Dankuni,Energy,0,0,residential,8.07,2,46.3,0,83.3
19,Dankuni,Water,2,0,agricultural,79.06,7,66.5,0,122.7
67,Palghar,Aviation,3,0,agricultural,11.4,13,77.6,1,123.5
286,Dankuni,Railways,1,0,agricultural,13.55,6,69.2,0,135.5
241,Ahmedabad,Industrial,0,0,residential,8.49,1,56.8,0,128.0
156,Valsad,Railways,0,0,agricultural,48.28,12,58.5,0,103.2
280,Dankuni,Energy,0,0,agricultural,31.64,11,7.1,1,124.4
138,Hooghly,Water,1,0,agricultural,42.5,1,93.8,0,96.1
294,Gautam Buddha Nagar,Water,2,0,commercial,76.38,1,3.6,1,173.3
274,Thane,Highways,2,0,commercial,61.49,4,67.3,1,178.1
57,Gautam Buddha Nagar,Railways,1,0,commercial,16.65,2,51.9,0,89.1
48,Dankuni,Aviation,0,0,residential,76.3,2,7.4,0,89.4
43,Hooghly,Industrial,2,0,residential,59.38,1,3.2,0,100.1
279,Hooghly,Energy,2,0,residential,13.77,2,71.7,0,121.4
234,Palghar,Highways,3,1,commercial,21.4,5,60.4,1,261.1
100,Thane,Water,0,0,residential,8.68,1,23.2,0,61.7
256,Thane,Railways,3,0,agricultural,14.73,14,5.3,1,167.0
179,Dankuni,Water,7,1,agricultural,22.07,2,55.2,1,302.9
279,Thane,Railways,4,0,agricultural,5.98,8,82.5,1,174.8
19,Palghar,Industrial,0,0,commercial,62.87,6,59.9,0,86.3
294,Hooghly,Railways,0,0,residential,1.01,4,4.2,0,111.3
15,Sonnagar,Highways,0,0,commercial,59.18,3,11.7,0,65.4
158,Hooghly,Highways,5,1,agricultural,71.83,9,40.4,1,287.6
63,Sonnagar,Highways,1,0,residential,31.85,1,42.5,0,74.0
182,Navsari,Energy,0,0,commercial,6.44,2,14.7,0,76.5
253,Palghar,Railways,0,0,commercial,28.98,2,44.0,0,119.9
170,Palghar,Railways,1,0,residential,3.71,3,15.8,0,53.6
168,Ahmedabad,Industrial,4,1,agricultural,2.97,7,81.5,1,247.9
86,Palghar,Water,2,1,agricultural,66.51,4,14.2,1,210.6
147,Dankuni,Aviation,0,0,agricultural,79.77,4,85.9,0,115.9
251,Valsad,Highways,8,1,agricultural,65.82,7,48.1,1,362.3
155,Valsad,Railways,4,1,agricultural,3.25,10,59.4,1,246.1
59,Panna,Water,4,1,agricultural,33.83,11,84.3,1,250.7
198,Panna,Highways,2,0,commercial,27.85,5,48.7,0,145.5
30,Valsad,Industrial,2,0,agricultural,5.16,8,51.2,0,26.7
138,Raigad,Highways,2,1,agricultural,61.24,4,55.5,1,235.1
177,Raigad,Railways,1,0,agricultural,73.16,1,67.4,0,140.7
267,Raigad,Industrial,0,0,agricultural,3.52,1,23.6,0,123.2
118,Thane,Energy,0,0,residential,14.61,3,7.5,0,98.3
201,Raigad,Highways,0,0,residential,75.38,4,56.5,0,138.0
264,Raigad,Aviation,0,0,commercial,77.52,6,84.7,0,136.9
208,Dankuni,Industrial,1,0,agricultural,10.62,12,2.2,0,120.8
177,Gautam Buddha Nagar,Highways,4,0,agricultural,18.06,10,11.7,0,176.9
178,Palghar,Railways,3,1,commercial,65.82,6,61.4,1,255.0
49,Navsari,Railways,2,0,agricultural,57.77,1,37.9,0,51.7
194,Ahmedabad,Water,0,0,commercial,38.62,5,62.5,0,101.5
25,Palghar,Highways,4,0,commercial,6.4,2,84.6,0,111.8
262,Palghar,Energy,0,0,residential,52.46,4,16.6,0,137.7
298,Surat,Water,2,0,residential,21.59,3,29.7,1,163.8
42,Panna,Water,0,0,agricultural,23.92,11,60.1,0,89.6
164,Surat,Railways,1,0,residential,9.68,4,45.8,0,95.2
109,Dankuni,Industrial,0,0,commercial,15.33,1,26.5,0,69.7
92,Navsari,Industrial,1,0,agricultural,7.31,6,77.2,0,107.5
213,Surat,Industrial,0,0,agricultural,43.07,14,89.1,0,143.7
32,Navsari,Highways,3,0,commercial,64.14,6,93.4,1,164.8
123,Hooghly,Railways,0,0,agricultural,34.16,11,42.5,1,112.5
49,Gautam Buddha Nagar,Energy,10,1,commercial,32.09,3,81.7,1,290.6
282,Thane,Aviation,0,0,residential,12.4,1,88.0,0,105.8
225,Navsari,Industrial,9,1,commercial,45.98,4,5.5,1,346.5
220,Gautam Buddha Nagar,Aviation,7,1,residential,55.4,1,71.4,1,286.3
174,Thane,Energy,1,0,commercial,55.85,1,92.4,0,129.4
152,Sonnagar,Water,1,0,commercial,7.6,4,21.7,1,73.6
278,Panna,Energy,0,0,agricultural,56.91,7,14.6,0,117.0
117,Thane,Railways,0,0,agricultural,36.79,6,67.5,0,128.1
78,Panna,Water,0,0,residential,39.36,4,18.5,0,61.8
147,Valsad,Energy,1,0,agricultural,23.16,7,6.6,0,90.6
130,Surat,Railways,0,0,residential,33.06,1,82.4,0,73.6
103,Hooghly,Railways,0,0,residential,20.57,3,68.3,0,60.5
144,Ahmedabad,Energy,6,1,commercial,54.34,5,38.9,1,300.2
159,Dankuni,Energy,0,0,residential,5.58,3,61.6,0,71.8
111,Sonnagar,Aviation,5,1,commercial,72.03,5,39.6,1,283.0
166,Thane,Aviation,8,1,commercial,32.67,6,5.3,1,288.9
128,Surat,Energy,1,0,residential,38.32,3,49.2,0,74.3
64,Panna,Railways,2,0,commercial,58.15,5,73.0,0,141.6
128,Valsad,Aviation,2,0,agricultural,24.91,13,84.5,0,164.7
42,Hooghly,Highways,1,0,commercial,75.57,1,45.9,0,97.8
167,Dankuni,Water,3,0,residential,12.49,2,33.9,1,125.7
107,Hooghly,Railways,1,0,commercial,50.67,2,31.1,0,106.1
96,Surat,Railways,2,0,residential,7.5,4,60.9,0,127.6
288,Ahmedabad,Highways,7,1,agricultural,76.03,6,72.4,1,346.7
142,Thane,Aviation,7,1,residential,25.31,1,37.7,1,267.4
248,Thane,Energy,1,0,commercial,27.36,6,94.6,0,171.3
221,Valsad,Railways,5,1,agricultural,58.31,3,21.6,1,292.0
34,Palghar,Energy,1,0,residential,61.81,1,57.2,0,84.3
74,Thane,Highways,0,0,residential,44.01,4,67.3,0,106.4
66,Thane,Energy,0,0,commercial,48.65,2,41.0,0,60.1
73,Gautam Buddha Nagar,Highways,1,0,commercial,48.92,3,79.3,0,90.5
35,Ahmedabad,Energy,3,0,agricultural,55.21,8,32.7,1,134.3
267,Palghar,Industrial,3,1,residential,62.47,1,69.3,1,279.5
150,Surat,Water,0,0,commercial,14.39,1,81.3,0,97.6
63,Ahmedabad,Aviation,3,0,agricultural,1.27,3,63.7,0,116.6
62,Hooghly,Industrial,0,0,commercial,9.55,4,91.5,0,80.9
100,Hooghly,Water,2,1,residential,78.53,2,11.6,1,216.5
107,Gautam Buddha Nagar,Aviation,2,0,commercial,49.1,6,83.8,0,89.8
225,Hooghly,Water,0,0,agricultural,52.57,1,67.5,0,83.1
129,Gautam Buddha Nagar,Aviation,1,0,residential,27.39,1,42.3,0,71.3
212,Dankuni,Aviation,10,1,residential,71.42,1,3.1,1,336.5
53,Hooghly,Water,0,0,agricultural,26.81,5,6.7,0,96.9
250,Ahmedabad,Railways,1,0,agricultural,7.5,8,43.6,1,152.8
221,Dankuni,Highways,1,0,agricultural,0.51,2,75.6,1,101.6
248,Panna,Industrial,0,0,agricultural,4.81,4,80.5,0,134.7
201,Gautam Buddha Nagar,Water,0,0,residential,60.87,2,2.2,0,131.7
206,Navsari,Industrial,0,0,residential,13.55,2,78.4,0,75.5
111,Navsari,Industrial,8,1,agricultural,17.64,14,74.7,1,311.4
78,Ahmedabad,Highways,1,0,residential,52.85,2,91.6,0,93.4
262,Panna,Water,2,0,residential,72.86,2,69.9,1,174.5
273,Gautam Buddha Nagar,Industrial,0,0,commercial,48.91,6,72.9,0,184.6
85,Navsari,Water,2,0,agricultural,60.0,5,80.4,0,118.1
126,Sonnagar,Industrial,6,1,residential,55.09,2,93.3,1,235.8
180,Panna,Industrial,2,0,residential,45.2,4,64.7,0,123.3
69,Ahmedabad,Highways,4,1,residential,4.72,1,20.6,1,200.0
89,Navsari,Aviation,1,0,commercial,23.96,5,5.0,0,86.6
129,Dankuni,Aviation,1,0,residential,19.39,3,66.4,0,100.6
297,Ahmedabad,Aviation,6,1,commercial,16.65,4,79.2,1,292.1
294,Dankuni,Energy,0,0,residential,58.13,2,29.4,0,158.2
278,Raigad,Railways,2,1,residential,34.57,3,14.1,1,250.9
94,Valsad,Water,7,1,residential,47.95,3,47.6,1,269.7
